Date,Close,Open,High,Low,Change
1979-12-27,1.5074,1.5074,1.5074,1.5074,0.0040999999999999995
1979-12-28,1.5076,1.5076,1.5076,1.5076,0.0001
1979-12-31,1.5081,1.5081,1.5081,1.5081,0.0003
1980-01-02,1.5149,1.5149,1.5149,1.5149,0.0045000000000000005
1980-01-03,1.5177,1.5177,1.5177,1.5177,0.0018
1980-01-04,1.5129,1.5129,1.5129,1.5129,-0.0032
1980-01-07,1.5168,1.5168,1.5168,1.5168,0.0026
1980-01-08,1.5108,1.5108,1.5108,1.5108,-0.004
1980-01-09,1.5161,1.5161,1.5161,1.5161,0.0034999999999999996
1980-01-10,1.5133,1.5133,1.5133,1.5133,-0.0018
1980-01-11,1.5108,1.5108,1.5108,1.5108,-0.0017000000000000001
1980-01-14,1.511,1.511,1.511,1.511,0.0001
1980-01-15,1.5047,1.5047,1.5047,1.5047,-0.0042
1980-01-16,1.5074,1.5074,1.5074,1.5074,0.0018
1980-01-17,1.5074,1.5074,1.5074,1.5074,0.0
1980-01-18,1.5083,1.5083,1.5083,1.5083,0.0006
1980-01-21,1.5053,1.5053,1.5053,1.5053,-0.002
1980-01-22,1.5006,1.5006,1.5006,1.5006,-0.0031
1980-01-23,1.5035,1.5035,1.5035,1.5035,0.0019
1980-01-24,1.5026,1.5026,1.5026,1.5026,-0.0006
1980-01-25,1.5004,1.5004,1.5004,1.5004,-0.0015
1980-01-28,1.4993,1.4993,1.4993,1.4993,-0.0007000000000000001
1980-01-29,1.4979,1.4979,1.4979,1.4979,-0.0009
1980-01-30,1.4986,1.4986,1.4986,1.4986,0.0005
1980-01-31,1.4945,1.4945,1.4945,1.4945,-0.0027
1980-02-01,1.4919,1.4919,1.4919,1.4919,-0.0017000000000000001
1980-02-04,1.4923,1.4923,1.4923,1.4923,0.0003
1980-02-05,1.4952,1.4952,1.4952,1.4952,0.0019
1980-02-06,1.4993,1.4993,1.4993,1.4993,0.0027
1980-02-07,1.4977,1.4977,1.4977,1.4977,-0.0011
1980-02-08,1.4948,1.4948,1.4948,1.4948,-0.0019
1980-02-11,1.4979,1.4979,1.4979,1.4979,0.0021
1980-02-12,1.4966,1.4966,1.4966,1.4966,-0.0009
1980-02-13,1.5004,1.5004,1.5004,1.5004,0.0025
1980-02-14,1.5011,1.5011,1.5011,1.5011,0.0005
1980-02-15,1.497,1.497,1.497,1.497,-0.0027
1980-02-18,1.4957,1.4957,1.4957,1.4957,-0.0009
1980-02-19,1.4899,1.4899,1.4899,1.4899,-0.0039000000000000003
1980-02-20,1.491,1.491,1.491,1.491,0.0007000000000000001
1980-02-21,1.4903,1.4903,1.4903,1.4903,-0.0005
1980-02-22,1.4813,1.4813,1.4813,1.4813,-0.006
1980-02-25,1.4791,1.4791,1.4791,1.4791,-0.0015
1980-02-26,1.4791,1.4791,1.4791,1.4791,0.0
1980-02-27,1.4782,1.4782,1.4782,1.4782,-0.0006
1980-02-28,1.4799,1.4799,1.4799,1.4799,0.0012
1980-02-29,1.4689,1.4689,1.4689,1.4689,-0.0074
1980-03-03,1.4628,1.4628,1.4628,1.4628,-0.0042
1980-03-04,1.4588,1.4588,1.4588,1.4588,-0.0027
1980-03-05,1.4596,1.4596,1.4596,1.4596,0.0005
1980-03-06,1.451,1.451,1.451,1.451,-0.0059
1980-03-07,1.4507,1.4507,1.4507,1.4507,-0.0002
1980-03-10,1.444,1.444,1.444,1.444,-0.0046
1980-03-11,1.4422,1.4422,1.4422,1.4422,-0.0012
1980-03-12,1.4436,1.4436,1.4436,1.4436,0.001
1980-03-13,1.4341,1.4341,1.4341,1.4341,-0.0066
1980-03-14,1.4219,1.4219,1.4219,1.4219,-0.0085
1980-03-17,1.3935,1.3935,1.3935,1.3935,-0.02
1980-03-18,1.3933,1.3933,1.3933,1.3933,-0.0001
1980-03-19,1.3959,1.3959,1.3959,1.3959,0.0019
1980-03-20,1.4008,1.4008,1.4008,1.4008,0.0034999999999999996
1980-03-21,1.393,1.393,1.393,1.393,-0.005600000000000001
1980-03-24,1.3856,1.3856,1.3856,1.3856,-0.0053
1980-03-25,1.3818,1.3818,1.3818,1.3818,-0.0027
1980-03-26,1.3845,1.3845,1.3845,1.3845,0.002
1980-03-27,1.3663,1.3663,1.3663,1.3663,-0.0131
1980-03-28,1.362,1.362,1.362,1.362,-0.0031
1980-03-31,1.3492,1.3492,1.3492,1.3492,-0.009399999999999999
1980-04-01,1.3339,1.3339,1.3339,1.3339,-0.0113
1980-04-02,1.3463,1.3463,1.3463,1.3463,0.009300000000000001
1980-04-03,1.3405,1.3405,1.3405,1.3405,-0.0043
1980-04-08,1.3446,1.3446,1.3446,1.3446,0.0031
1980-04-09,1.3837,1.3837,1.3837,1.3837,0.0291
1980-04-10,1.3824,1.3824,1.3824,1.3824,-0.0009
1980-04-11,1.3906,1.3906,1.3906,1.3906,0.0059
1980-04-14,1.397,1.397,1.397,1.397,0.0046
1980-04-15,1.3793,1.3793,1.3793,1.3793,-0.0127
1980-04-16,1.3998,1.3998,1.3998,1.3998,0.0149
1980-04-17,1.4037,1.4037,1.4037,1.4037,0.0028000000000000004
1980-04-18,1.4104,1.4104,1.4104,1.4104,0.0048
1980-04-21,1.4085,1.4085,1.4085,1.4085,-0.0013
1980-04-22,1.4031,1.4031,1.4031,1.4031,-0.0038
1980-04-23,1.4263,1.4263,1.4263,1.4263,0.0165
1980-04-24,1.4331,1.4331,1.4331,1.4331,0.0048
1980-04-25,1.4358,1.4358,1.4358,1.4358,0.0019
1980-04-28,1.4461,1.4461,1.4461,1.4461,0.0072
1980-04-29,1.4449,1.4449,1.4449,1.4449,-0.0008
1980-04-30,1.4426,1.4426,1.4426,1.4426,-0.0016
1980-05-01,1.443,1.443,1.443,1.443,0.0003
1980-05-02,1.431,1.431,1.431,1.431,-0.0083
1980-05-06,1.4495,1.4495,1.4495,1.4495,0.0129
1980-05-07,1.4524,1.4524,1.4524,1.4524,0.002
1980-05-08,1.4468,1.4468,1.4468,1.4468,-0.0039000000000000003
1980-05-09,1.4362,1.4362,1.4362,1.4362,-0.0073
1980-05-12,1.4478,1.4478,1.4478,1.4478,0.008100000000000001
1980-05-13,1.447,1.447,1.447,1.447,-0.0006
1980-05-14,1.4495,1.4495,1.4495,1.4495,0.0017000000000000001
1980-05-15,1.4495,1.4495,1.4495,1.4495,0.0
1980-05-16,1.447,1.447,1.447,1.447,-0.0017000000000000001
1980-05-19,1.4438,1.4438,1.4438,1.4438,-0.0022
1980-05-20,1.442,1.442,1.442,1.442,-0.0012
1980-05-21,1.4535,1.4535,1.4535,1.4535,0.008
1980-05-22,1.4539,1.4539,1.4539,1.4539,0.0003
1980-05-23,1.4603,1.4603,1.4603,1.4603,0.0044
1980-05-27,1.4725,1.4725,1.4725,1.4725,0.0084
