ticker,subsector,name
EPR,specialty,EPR Properties
FPI,specialty,Farmland Partners REIT
GLPI,specialty,Gaming & Leisure Properties
GEO,specialty,Geo Group
LAND,specialty,Gladstone Land
IRM,specialty,Iron Mountain
LAMR,specialty,Lamar Advertising
OUT,specialty,Outfront Media
SAFE,specialty,Safehold Inc
VICI,specialty,VICI Properties
MITT,specialty,AG Mortgage Investment Trust
AGNC,home financing,AGNC Investment
NLY,home financing,Annaly Capital Management
AAIC,home financing,Arlington Asset Investment Cor
ARR,home financing,ARMOUR Residential REIT
CMO,home financing,Capstead Mortgage
CHMI,home financing,Cherry Hill Mortgage Investment
CIM,home financing,Chimera Investment
DX,home financing,Dynex Capital
EFC,home financing,Ellington Financial Inc
EARN,home financing,Ellington Residential Mortgage REIT
AJX,home financing,Great Ajax
IVR,home financing,Invesco Mortgage Capital
LFT,home financing,Lument Finance Trust Inc
MFA,home financing,MFA Financial
NRZ,home financing,New Residential Investment Corp.
NYMT,home financing,New York Mortgage Trust
ORC,home financing,Orchid Island Capital
PMT,home financing,PennyMac Mortgage Investment Trust
RC,home financing,Ready Capital Corporation
RWT,home financing,Redwood Trust
TWO,home financing,Two Harbors Investment
WMC,home financing,Western Asset Mortgage Capital
ACR,home financing,ACRES Commercial Realty Corp
AFCG,commercial financing,AFC Gamma
ARI,commercial financing,Apollo Commercial Real Estate Finance
ABR,commercial financing,Arbor Realty Trust
ACRE,commercial financing,Ares Commercial Real Estate
BXMT,commercial financing,Blackstone Mortgage Trust
BRSP,commercial financing,BrightSpire Capital Inc (A)
BRMK,commercial financing,Broadmark Realty Capital Inc (A)
GPMT,commercial financing,Granite Point Mortgage Trust
HASI,commercial financing,Hannon Armstrong Sustainable Infrastructure C
STAR,commercial financing,iStar Inc.
KREF,commercial financing,KKR Real Estate Finance Trust
LADR,commercial financing,Ladder Capital
NREF,commercial financing,NexPoint Real Estate Finance
SACH,commercial financing,Sachem Capital
STWD,commercial financing,Starwood Property Trust Inc.
TRTX,commercial financing,TPG RE Finance Trust
TRMT,commercial financing,Tremont Mortgage Trust REIT
