,ticker,subsector,name
142,RLJ,Lodging/Resorts,RLJ Lodging Trust
143,RHP,Lodging/Resorts,Ryman Hospitality Properties
144,SOHO,Lodging/Resorts,Sotherly Hotels Inc
145,INN,Lodging/Resorts,Summit Hotel Properties
146,SHO,Lodging/Resorts,Sunstone Hotel Investors
147,XHR,Lodging/Resorts,Xenia Hotels & Resorts
148,CUBE,Self Storage,CubeSmart
149,EXR,Self Storage,Extra Space Storage
150,SELF,Self Storage,Global Self Storage Inc
151,LSI,Self Storage,Life Storage
152,NSA,Self Storage,National Storage Affiliates Trust
153,PSA,Self Storage,Public Storage
154,CTT,Timber,CatchMark Timber Trust
155,PCH,Timber,PotlatchDeltic
156,RYN,Timber,Rayonier
157,WY,Timber,Weyerhaeuser
158,AMT,Infrastructure,American Tower Corp
159,CORR,Infrastructure,CorEnergy Infrastructure Trust
160,CCI,Infrastructure,Crown Castle Intl Corp
161,PW,Infrastructure,Power REIT
162,SBAC,Infrastructure,SBA Communications
163,UNIT,Infrastructure,Uniti Group
164,COR,Data Centers,CoreSite Realty
165,CONE,Data Centers,CyrusOne
166,DLR,Data Centers,Digital Realty Trust
167,EQIX,Data Centers,Equinix Inc
168,QTS,Data Centers,QTS Realty Trust
169,EPR,Specialty,EPR Properties
170,FPI,Specialty,Farmland Partners REIT
171,GLPI,Specialty,Gaming & Leisure Properties
172,GEO,Specialty,Geo Group
173,LAND,Specialty,Gladstone Land
174,IRM,Specialty,Iron Mountain
175,LAMR,Specialty,Lamar Advertising
176,OUT,Specialty,Outfront Media
177,SAFE,Specialty,Safehold Inc
178,VICI,Specialty,VICI Properties
179,MITT,AVERAGE,AG Mortgage Investment Trust
180,AGNC,Home Financing,AGNC Investment
181,NLY,Home Financing,Annaly Capital Management
182,AAIC,Home Financing,Arlington Asset Investment Cor
183,ARR,Home Financing,ARMOUR Residential REIT
184,CMO,Home Financing,Capstead Mortgage
185,CHMI,Home Financing,Cherry Hill Mortgage Investment
186,CIM,Home Financing,Chimera Investment
187,DX,Home Financing,Dynex Capital
188,EFC,Home Financing,Ellington Financial Inc
189,EARN,Home Financing,Ellington Residential Mortgage REIT
190,AJX,Home Financing,Great Ajax
191,IVR,Home Financing,Invesco Mortgage Capital
192,LFT,Home Financing,Lument Finance Trust Inc
193,MFA,Home Financing,MFA Financial
194,NRZ,Home Financing,New Residential Investment Corp.
195,NYMT,Home Financing,New York Mortgage Trust
196,ORC,Home Financing,Orchid Island Capital
197,PMT,Home Financing,PennyMac Mortgage Investment Trust
198,RC,Home Financing,Ready Capital Corporation
199,RWT,Home Financing,Redwood Trust
200,TWO,Home Financing,Two Harbors Investment
201,WMC,Home Financing,Western Asset Mortgage Capital
202,ACR,AVERAGE,ACRES Commercial Realty Corp
203,AFCG,Commercial Financing,AFC Gamma
204,ARI,Commercial Financing,Apollo Commercial Real Estate Finance
205,ABR,Commercial Financing,Arbor Realty Trust
206,ACRE,Commercial Financing,Ares Commercial Real Estate
207,BXMT,Commercial Financing,Blackstone Mortgage Trust
208,BRSP,Commercial Financing,BrightSpire Capital Inc (A)
209,BRMK,Commercial Financing,Broadmark Realty Capital Inc (A)
210,GPMT,Commercial Financing,Granite Point Mortgage Trust
211,HASI,Commercial Financing,Hannon Armstrong Sustainable Infrastructure C
212,STAR,Commercial Financing,iStar Inc.
213,KREF,Commercial Financing,KKR Real Estate Finance Trust
214,LADR,Commercial Financing,Ladder Capital
215,NREF,Commercial Financing,NexPoint Real Estate Finance
216,SACH,Commercial Financing,Sachem Capital
217,STWD,Commercial Financing,Starwood Property Trust Inc.
218,TRTX,Commercial Financing,TPG RE Finance Trust
219,TRMT,Commercial Financing,Tremont Mortgage Trust REIT
